open_time,close_time,Symbol,action,lots,SL,TP,entry_price,exit_price,pips,profit,Duration (DDHHMMSS),Change %,trade_id,M5_candle_idx,M5_candle_time,M15_candle_idx,M15_candle_time,H1_candle_idx,H1_candle_time,H4_candle_idx,H4_candle_time,D1_candle_idx,D1_candle_time
2026-03-10 08:24:00,2026-03-10 08:31:00,XAUUSD,Buy,100.0,5169.3,0.0,5160.22,5169.3,908.0,90350.0,00:00:07:00,1.6,0,1519887.0,2026-03-10 08:20:00,509545.0,2026-03-10 08:15:00,128037.0,2026-03-10 08:00:00,34001.0,2026-03-10 08:00:00,6595.0,2026-03-10
2026-03-09 17:18:00,2026-03-09 17:19:00,XAUUSD,Buy,100.0,5096.41,0.0,5097.91,5096.41,-150.0,-15450.0,00:00:01:00,-0.27,1,1519718.0,2026-03-09 17:15:00,509489.0,2026-03-09 17:15:00,128023.0,2026-03-09 17:00:00,33997.0,2026-03-09 16:00:00,6594.0,2026-03-09
2026-03-09 13:56:00,2026-03-09 13:57:00,XAUUSD,Buy,100.0,5096.5,0.0,5095.81,5096.5,69.0,6450.0,00:00:01:00,0.11,2,1519678.0,2026-03-09 13:55:00,509475.0,2026-03-09 13:45:00,128019.0,2026-03-09 13:00:00,33996.0,2026-03-09 12:00:00,6594.0,2026-03-09
2026-03-09 10:46:00,2026-03-09 10:48:00,XAUUSD,Buy,100.0,5104.2,0.0,5098.61,5104.2,559.0,55450.0,00:00:02:00,0.99,3,1519640.0,2026-03-09 10:45:00,509463.0,2026-03-09 10:45:00,128016.0,2026-03-09 10:00:00,33995.0,2026-03-09 08:00:00,6594.0,2026-03-09
2026-03-09 10:45:00,2026-03-09 10:45:00,XAUUSD,Buy,100.0,5103.07,0.0,5104.57,5103.07,-150.0,-15450.0,00:00:00:00,-0.28,4,1519640.0,2026-03-09 10:45:00,509463.0,2026-03-09 10:45:00,128016.0,2026-03-09 10:00:00,33995.0,2026-03-09 08:00:00,6594.0,2026-03-09
2026-03-09 09:24:00,2026-03-09 09:25:00,XAUUSD,Buy,100.0,5097.9,0.0,5096.51,5097.9,139.0,13450.0,00:00:01:00,0.24,5,1519623.0,2026-03-09 09:20:00,509457.0,2026-03-09 09:15:00,128015.0,2026-03-09 09:00:00,33995.0,2026-03-09 08:00:00,6594.0,2026-03-09
2026-03-09 06:58:00,2026-03-09 06:59:00,XAUUSD,Buy,100.0,5124.5,0.0,5121.71,5124.5,279.0,27450.0,00:00:01:00,0.49,6,1519594.0,2026-03-09 06:55:00,509447.0,2026-03-09 06:45:00,128012.0,2026-03-09 06:00:00,33994.0,2026-03-09 04:00:00,6594.0,2026-03-09
2026-03-09 01:48:00,2026-03-09 01:49:00,XAUUSD,Buy,100.0,5045.4,0.0,5035.6,5045.4,980.0,97550.0,00:00:01:00,1.78,7,1519532.0,2026-03-09 01:45:00,509427.0,2026-03-09 01:45:00,128007.0,2026-03-09 01:00:00,33993.0,2026-03-09 00:00:00,6594.0,2026-03-09
2026-03-08 23:42:00,2026-03-08 23:43:00,XAUUSD,Buy,100.0,5124.5,0.0,5117.51,5124.5,699.0,69450.0,00:00:01:00,1.28,8,1519507.0,2026-03-08 23:40:00,509418.0,2026-03-08 23:30:00,128005.0,2026-03-08 23:00:00,33992.0,2026-03-08 20:00:00,6593.0,2026-03-08
2026-03-06 16:24:00,2026-03-06 16:25:00,XAUUSD,Buy,100.0,5139.11,0.0,5140.61,5139.11,-150.0,-15450.0,00:00:01:00,-0.28,9,1519419.0,2026-03-06 16:20:00,509389.0,2026-03-06 16:15:00,127998.0,2026-03-06 16:00:00,33990.0,2026-03-06 16:00:00,6592.0,2026-03-06
2026-03-06 05:02:00,2026-03-06 05:06:00,XAUUSD,Buy,100.0,5129.4,0.0,5125.91,5129.4,349.0,34450.0,00:00:04:00,0.64,10,1519283.0,2026-03-06 05:00:00,509344.0,2026-03-06 05:00:00,127987.0,2026-03-06 05:00:00,33987.0,2026-03-06 04:00:00,6592.0,2026-03-06
2026-03-06 01:14:00,2026-03-06 01:16:00,XAUUSD,Buy,100.0,5076.9,0.0,5077.61,5076.9,-71.0,-7550.0,00:00:02:00,-0.14,11,1519237.0,2026-03-06 01:10:00,509328.0,2026-03-06 01:00:00,127983.0,2026-03-06 01:00:00,33986.0,2026-03-06 00:00:00,6592.0,2026-03-06
2026-03-05 15:27:00,2026-03-05 15:27:00,XAUUSD,Buy,100.0,5076.9,0.0,5076.21,5076.9,69.0,6450.0,00:00:00:00,0.12,12,1519132.0,2026-03-05 15:25:00,509293.0,2026-03-05 15:15:00,127974.0,2026-03-05 15:00:00,33983.0,2026-03-05 12:00:00,6591.0,2026-03-05
2026-03-05 14:40:00,2026-03-05 14:41:00,XAUUSD,Buy,100.0,5107.0,0.0,5091.61,5107.0,1539.0,153450.0,00:00:01:00,2.93,13,1519123.0,2026-03-05 14:40:00,509290.0,2026-03-05 14:30:00,127973.0,2026-03-05 14:00:00,33983.0,2026-03-05 12:00:00,6591.0,2026-03-05
2026-03-05 13:22:00,2026-03-05 13:22:00,XAUUSD,Buy,100.0,5113.91,0.0,5115.41,5113.91,-150.0,-15450.0,00:00:00:00,-0.29,14,1519107.0,2026-03-05 13:20:00,509285.0,2026-03-05 13:15:00,127972.0,2026-03-05 13:00:00,33983.0,2026-03-05 12:00:00,6591.0,2026-03-05
2026-03-04 18:41:00,2026-03-04 18:45:00,XAUUSD,Buy,100.0,5124.5,0.0,5111.21,5124.5,1329.0,132450.0,00:00:04:00,2.59,15,1518895.0,2026-03-04 18:40:00,509214.0,2026-03-04 18:30:00,127954.0,2026-03-04 18:00:00,33978.0,2026-03-04 16:00:00,6590.0,2026-03-04
2026-03-04 16:25:00,2026-03-04 16:26:00,XAUUSD,Buy,100.0,5151.1,0.0,5140.61,5151.1,1049.0,104450.0,00:00:01:00,2.08,16,1518868.0,2026-03-04 16:25:00,509205.0,2026-03-04 16:15:00,127952.0,2026-03-04 16:00:00,33978.0,2026-03-04 16:00:00,6590.0,2026-03-04
2026-03-04 16:24:00,2026-03-04 16:24:00,XAUUSD,Buy,100.0,5140.11,0.0,5141.61,5140.11,-150.0,-15450.0,00:00:00:00,-0.31,17,1518867.0,2026-03-04 16:20:00,509205.0,2026-03-04 16:15:00,127952.0,2026-03-04 16:00:00,33978.0,2026-03-04 16:00:00,6590.0,2026-03-04
2026-03-04 13:57:00,2026-03-04 13:58:00,XAUUSD,Buy,100.0,5174.9,0.0,5174.92,5174.9,-2.0,-650.0,00:00:01:00,-0.01,18,1518838.0,2026-03-04 13:55:00,509195.0,2026-03-04 13:45:00,127949.0,2026-03-04 13:00:00,33977.0,2026-03-04 12:00:00,6590.0,2026-03-04
2026-03-04 08:56:00,2026-03-04 08:56:00,XAUUSD,Buy,100.0,5171.4,0.0,5171.42,5171.4,-2.0,-650.0,00:00:00:00,-0.01,19,1518778.0,2026-03-04 08:55:00,509175.0,2026-03-04 08:45:00,127944.0,2026-03-04 08:00:00,33976.0,2026-03-04 08:00:00,6590.0,2026-03-04
2026-03-04 02:50:00,2026-03-04 02:51:00,XAUUSD,Buy,100.0,5170.0,0.0,5165.12,5170.0,488.0,48350.0,00:00:01:00,0.97,20,1518705.0,2026-03-04 02:50:00,509151.0,2026-03-04 02:45:00,127938.0,2026-03-04 02:00:00,33974.0,2026-03-04 00:00:00,6590.0,2026-03-04
2026-03-03 17:02:00,2026-03-03 17:03:00,XAUUSD,Buy,100.0,5094.4,0.0,5087.41,5094.4,699.0,69450.0,00:00:01:00,1.41,21,1518599.0,2026-03-03 17:00:00,509116.0,2026-03-03 17:00:00,127930.0,2026-03-03 17:00:00,33972.0,2026-03-03 16:00:00,6589.0,2026-03-03
2026-03-03 16:40:00,2026-03-03 16:40:00,XAUUSD,Buy,100.0,5124.5,0.0,5119.61,5124.5,489.0,48450.0,00:00:00:00,1.0,22,1518595.0,2026-03-03 16:40:00,509114.0,2026-03-03 16:30:00,127929.0,2026-03-03 16:00:00,33972.0,2026-03-03 16:00:00,6589.0,2026-03-03
2026-03-03 16:13:00,2026-03-03 16:14:00,XAUUSD,Buy,100.0,5106.3,0.0,5102.81,5106.3,349.0,34450.0,00:00:01:00,0.71,23,1518589.0,2026-03-03 16:10:00,509112.0,2026-03-03 16:00:00,127929.0,2026-03-03 16:00:00,33972.0,2026-03-03 16:00:00,6589.0,2026-03-03
2026-03-03 15:09:00,2026-03-03 15:09:00,XAUUSD,Buy,100.0,5054.5,0.0,5049.6,5054.5,490.0,48550.0,00:00:00:00,1.02,24,1518576.0,2026-03-03 15:05:00,509108.0,2026-03-03 15:00:00,127928.0,2026-03-03 15:00:00,33971.0,2026-03-03 12:00:00,6589.0,2026-03-03
2026-03-03 14:42:00,2026-03-03 14:42:00,XAUUSD,Buy,100.0,5086.7,0.0,5084.61,5086.7,209.0,20450.0,00:00:00:00,0.43,25,1518571.0,2026-03-03 14:40:00,509106.0,2026-03-03 14:30:00,127927.0,2026-03-03 14:00:00,33971.0,2026-03-03 12:00:00,6589.0,2026-03-03
2026-03-03 11:08:00,2026-03-03 11:08:00,XAUUSD,Buy,100.0,5216.2,0.0,5209.22,5216.2,698.0,69350.0,00:00:00:00,1.48,26,1518528.0,2026-03-03 11:05:00,509092.0,2026-03-03 11:00:00,127924.0,2026-03-03 11:00:00,33970.0,2026-03-03 08:00:00,6589.0,2026-03-03
2026-03-03 11:06:00,2026-03-03 11:06:00,XAUUSD,Buy,100.0,5246.22,0.0,5247.72,5246.22,-150.0,-15450.0,00:00:00:00,-0.33,27,1518528.0,2026-03-03 11:05:00,509092.0,2026-03-03 11:00:00,127924.0,2026-03-03 11:00:00,33970.0,2026-03-03 08:00:00,6589.0,2026-03-03
2026-03-03 10:09:00,2026-03-03 10:10:00,XAUUSD,Buy,100.0,5273.6,0.0,5272.23,5273.6,137.0,13250.0,00:00:01:00,0.28,28,1518516.0,2026-03-03 10:05:00,509088.0,2026-03-03 10:00:00,127923.0,2026-03-03 10:00:00,33970.0,2026-03-03 08:00:00,6589.0,2026-03-03
2026-03-03 10:08:00,2026-03-03 10:08:00,XAUUSD,Buy,100.0,5274.53,0.0,5276.03,5274.53,-150.0,-15450.0,00:00:00:00,-0.33,29,1518516.0,2026-03-03 10:05:00,509088.0,2026-03-03 10:00:00,127923.0,2026-03-03 10:00:00,33970.0,2026-03-03 08:00:00,6589.0,2026-03-03
2026-03-03 05:33:00,2026-03-03 05:33:00,XAUUSD,Buy,100.0,5348.5,0.0,5348.53,5348.5,-3.0,-750.0,00:00:00:00,-0.02,30,1518461.0,2026-03-03 05:30:00,509070.0,2026-03-03 05:30:00,127918.0,2026-03-03 05:00:00,33969.0,2026-03-03 04:00:00,6589.0,2026-03-03
2026-03-03 05:17:00,2026-03-03 05:18:00,XAUUSD,Buy,100.0,5354.74,0.0,5356.24,5354.74,-150.0,-15450.0,00:00:01:00,-0.33,31,1518458.0,2026-03-03 05:15:00,509069.0,2026-03-03 05:15:00,127918.0,2026-03-03 05:00:00,33969.0,2026-03-03 04:00:00,6589.0,2026-03-03
2026-03-03 01:56:00,2026-03-03 01:56:00,XAUUSD,Buy,100.0,5350.6,0.0,5350.64,5350.6,-4.0,-850.0,00:00:00:00,-0.02,32,1518418.0,2026-03-03 01:55:00,509055.0,2026-03-03 01:45:00,127914.0,2026-03-03 01:00:00,33968.0,2026-03-03 00:00:00,6589.0,2026-03-03
2026-03-03 01:48:00,2026-03-03 01:49:00,XAUUSD,Buy,100.0,5352.0,0.0,5346.43,5352.0,557.0,55250.0,00:00:01:00,1.18,33,1518416.0,2026-03-03 01:45:00,509055.0,2026-03-03 01:45:00,127914.0,2026-03-03 01:00:00,33968.0,2026-03-03 00:00:00,6589.0,2026-03-03
