entry_time,exit_time,entry_price,exit_price,direction,pips,net_pips,cost_pips,net_profit,lot_size,candles_held,exit_reason,rule_id,cost_spread_pips,cost_commission_pips,cost_swap_pips,swap_nights
2026-03-04 03:00:00,2026-03-04 04:00:00,5138.3,5174.89,BUY,3659.0,3630.0,29.0,653.4,0.18,1,TAKE_PROFIT,0,-25.0,-4.0,0.0,0
2026-03-04 09:00:00,2026-03-04 10:00:00,5160.34,5168.11,BUY,777.0,748.0,29.0,134.64,0.18,1,TAKE_PROFIT,0,-25.0,-4.0,0.0,0
2026-03-04 16:00:00,2026-03-04 17:00:00,5167.81,5147.21,BUY,-2060.0,-2089.0,29.0,-376.02,0.18,1,TRAILING_STOP_GAP,0,-25.0,-4.0,0.0,0
2026-03-04 19:00:00,2026-03-04 20:00:00,5149.59,5140.96,BUY,-863.0,-892.0,29.0,-160.56,0.18,1,TRAILING_STOP_GAP,0,-25.0,-4.0,0.0,0
2026-03-04 22:00:00,2026-03-04 23:00:00,5137.73,5135.32,BUY,-241.0,-270.0,29.0,-48.6,0.18,1,HARD_CLOSE_HOUR,0,-25.0,-4.0,0.0,0
2026-03-05 02:00:00,2026-03-05 03:00:00,5166.02,5173.52,BUY,750.0,721.0,29.0,129.78,0.18,1,TAKE_PROFIT,0,-25.0,-4.0,0.0,0
2026-03-05 08:00:00,2026-03-05 09:00:00,5148.55,5167.34,BUY,1879.0,1850.0,29.0,333.0,0.18,1,TAKE_PROFIT,0,-25.0,-4.0,0.0,0
2026-03-05 11:00:00,2026-03-05 12:00:00,5165.63,5160.87,BUY,-476.0,-505.0,29.0,-90.9,0.18,1,TRAILING_STOP_GAP,0,-25.0,-4.0,0.0,0
2026-03-05 16:00:00,2026-03-05 17:00:00,5117.7,5101.54,BUY,-1616.0,-1645.0,29.0,-312.55,0.19,1,TRAILING_STOP_GAP,0,-25.0,-4.0,0.0,0
2026-03-05 19:00:00,2026-03-05 20:00:00,5077.69,5085.19,BUY,750.0,721.0,29.0,136.99,0.19,1,TAKE_PROFIT,0,-25.0,-4.0,0.0,0
2026-03-05 22:00:00,2026-03-05 23:00:00,5065.95,5076.56,BUY,1061.0,1032.0,29.0,196.08,0.19,1,HARD_CLOSE_HOUR,0,-25.0,-4.0,0.0,0
2026-03-06 03:00:00,2026-03-06 04:00:00,5084.6,5134.28,BUY,4968.0,4939.0,29.0,938.41,0.19,1,TAKE_PROFIT,0,-25.0,-4.0,0.0,0
2026-03-06 09:00:00,2026-03-06 10:00:00,5115.67,5119.58,BUY,391.0,362.0,29.0,68.78,0.19,1,TRAILING_STOP_GAP,0,-25.0,-4.0,0.0,0
2026-03-06 12:00:00,2026-03-06 13:00:00,5085.8,5093.3,BUY,750.0,721.0,29.0,136.99,0.19,1,TAKE_PROFIT,0,-25.0,-4.0,0.0,0
2026-03-06 15:00:00,2026-03-06 16:00:00,5083.38,5090.88,BUY,750.0,721.0,29.0,136.99,0.19,1,TAKE_PROFIT,0,-25.0,-4.0,0.0,0
2026-03-10 09:00:00,2026-03-10 10:00:00,5175.38,5182.88,BUY,750.0,721.0,29.0,129.78,0.18,1,TAKE_PROFIT,0,-25.0,-4.0,0.0,0
2026-03-10 13:00:00,2026-03-10 14:00:00,5177.36,5184.86,BUY,750.0,721.0,29.0,129.78,0.18,1,TAKE_PROFIT,0,-25.0,-4.0,0.0,0
2026-03-10 22:00:00,2026-03-11 00:00:00,5198.24,5192.75,BUY,-549.0,-623.5,29.0,-112.23,0.18,1,STOP_LOSS_GAP,0,-25.0,-4.0,-45.5,1
